====================
density: 0.4
nodes: 30
Node have file: 1
=====================
ExperimentServent(0xb741310c): result: 1, tx: 132, rx: 194
ExperimentServent(0xb73a092c): result: 1, tx: 149, rx: 135
ExperimentServent(0xb73a0d8c): result: 1, tx: 57, rx: 163
ExperimentServent(0xb73a0cec): result: 1, tx: 101, rx: 156
ExperimentServent(0xb73a074c): result: 1, tx: 151, rx: 157
ExperimentServent(0xb73a606c): result: 1, tx: 105, rx: 116
ExperimentServent(0xb73a0f8c): result: 1, tx: 180, rx: 164
ExperimentServent(0xb73a07ec): result: 1, tx: 119, rx: 182
ExperimentServent(0xb73a088c): result: 1, tx: 272, rx: 199
ExperimentServent(0xb73a05ac): result: 1, tx: 107, rx: 191
ExperimentServent(0xb73a0ecc): result: 1, tx: 130, rx: 123
ExperimentServent(0xb73a0b0c): result: 1, tx: 199, rx: 247
ExperimentServent(0xb73a61ec): result: 1, tx: 196, rx: 179
ExperimentServent(0xb73a612c): result: 1, tx: 406, rx: 267
ExperimentServent(0xb73a0c4c): result: 1, tx: 396, rx: 302
ExperimentServent(0xb73a0e2c): result: 1, tx: 107, rx: 107
ExperimentServent(0xb73a09cc): result: 1, tx: 291, rx: 230
=====================
ExperimentServent(0xb74702ac): result: 1, tx: 264, rx: 183
ExperimentServent(0xb73fae6c): result: 1, tx: 130, rx: 202
ExperimentServent(0xb740306c): result: 1, tx: 260, rx: 171
ExperimentServent(0xb73fdbac): result: 1, tx: 117, rx: 155
ExperimentServent(0xb746efcc): result: 1, tx: 386, rx: 224
ExperimentServent(0xb747006c): result: 1, tx: 61, rx: 211
ExperimentServent(0xb746efac): result: 1, tx: 164, rx: 173
ExperimentServent(0xb73fd52c): result: 1, tx: 60, rx: 163
ExperimentServent(0xb74031ec): result: 1, tx: 190, rx: 146
ExperimentServent(0xb73fdecc): result: 1, tx: 74, rx: 218
ExperimentServent(0xb7470dac): result: 1, tx: 170, rx: 127
ExperimentServent(0xb73fdb0c): result: 1, tx: 42, rx: 127
ExperimentServent(0xb73fdf8c): result: 1, tx: 267, rx: 185
ExperimentServent(0xb73fd4ac): result: 1, tx: 86, rx: 170
ExperimentServent(0xb73fd7ec): result: 1, tx: 53, rx: 154
ExperimentServent(0xb73fd62c): result: 1, tx: 64, rx: 116
ExperimentServent(0xb73fd88c): result: 1, tx: 328, rx: 207
ExperimentServent(0xb73fd74c): result: 1, tx: 126, rx: 110
ExperimentServent(0xb73fd9cc): result: 1, tx: 59, rx: 117
ExperimentServent(0xb747048c): result: 1, tx: 282, rx: 232
ExperimentServent(0xb747010c): result: 1, tx: 210, rx: 223
ExperimentServent(0xb73fd6ac): result: 1, tx: 279, rx: 202
ExperimentServent(0xb73fd92c): result: 1, tx: 144, rx: 143
ExperimentServent(0xb73fdcec): result: 1, tx: 180, rx: 191
ExperimentServent(0xb73fdd8c): result: 1, tx: 22, rx: 97
ExperimentServent(0xb73fdc4c): result: 1, tx: 164, rx: 214
ExperimentServent(0xb73fda6c): result: 1, tx: 281, rx: 216
ExperimentServent(0xb73fd5ac): result: 1, tx: 250, rx: 204
ExperimentServent(0xb73fde2c): result: 1, tx: 234, rx: 206
ExperimentServent(0xb740312c): result: 1, tx: 374, rx: 234
=====================
ExperimentServent(0xb743f5ac): result: 1, tx: 311, rx: 201
ExperimentServent(0xb743f88c): result: 1, tx: 243, rx: 176
ExperimentServent(0xb743f62c): result: 1, tx: 68, rx: 141
ExperimentServent(0xb743f52c): result: 1, tx: 252, rx: 169
ExperimentServent(0xb74b0fcc): result: 1, tx: 359, rx: 231
ExperimentServent(0xb74b0fac): result: 1, tx: 326, rx: 193
ExperimentServent(0xb743fa6c): result: 1, tx: 151, rx: 169
ExperimentServent(0xb744506c): result: 1, tx: 256, rx: 161
ExperimentServent(0xb74b248c): result: 1, tx: 41, rx: 250
ExperimentServent(0xb744512c): result: 1, tx: 112, rx: 244
ExperimentServent(0xb743f92c): result: 1, tx: 221, rx: 215
ExperimentServent(0xb743f6ac): result: 1, tx: 142, rx: 180
ExperimentServent(0xb743f74c): result: 1, tx: 134, rx: 179
ExperimentServent(0xb74b210c): result: 1, tx: 226, rx: 126
ExperimentServent(0xb743f9cc): result: 1, tx: 166, rx: 198
ExperimentServent(0xb743ff8c): result: 1, tx: 108, rx: 165
ExperimentServent(0xb74b22ac): result: 1, tx: 264, rx: 214
ExperimentServent(0xb743fcec): result: 1, tx: 232, rx: 181
ExperimentServent(0xb74b2dac): result: 1, tx: 223, rx: 184
ExperimentServent(0xb743f4ac): result: 1, tx: 233, rx: 258
ExperimentServent(0xb74b206c): result: 1, tx: 70, rx: 87
ExperimentServent(0xb743fd8c): result: 1, tx: 60, rx: 121
ExperimentServent(0xb74451ec): result: 1, tx: 47, rx: 159
ExperimentServent(0xb743fbac): result: 1, tx: 25, rx: 211
ExperimentServent(0xb743ce6c): result: 1, tx: 222, rx: 201
ExperimentServent(0xb743f7ec): result: 1, tx: 403, rx: 265
ExperimentServent(0xb743fecc): result: 1, tx: 270, rx: 223
ExperimentServent(0xb743fe2c): result: 1, tx: 164, rx: 246
ExperimentServent(0xb743fc4c): result: 1, tx: 32, rx: 59
ExperimentServent(0xb743fb0c): result: 1, tx: 291, rx: 245
=====================
ExperimentServent(0xb745310c): result: 1, tx: 278, rx: 187
ExperimentServent(0xb73e0eec): result: 1, tx: 102, rx: 148
ExperimentServent(0xb73e07ec): result: 1, tx: 269, rx: 185
ExperimentServent(0xb73e05ac): result: 1, tx: 201, rx: 139
ExperimentServent(0xb7451fcc): result: 1, tx: 41, rx: 200
ExperimentServent(0xb73e61ec): result: 1, tx: 197, rx: 121
ExperimentServent(0xb745306c): result: 1, tx: 223, rx: 158
ExperimentServent(0xb73e0a6c): result: 1, tx: 121, rx: 168
ExperimentServent(0xb7451fac): result: 1, tx: 238, rx: 155
ExperimentServent(0xb73e0bac): result: 1, tx: 170, rx: 119
ExperimentServent(0xb73e092c): result: 1, tx: 101, rx: 166
ExperimentServent(0xb74532ac): result: 1, tx: 243, rx: 136
ExperimentServent(0xb73e04ac): result: 1, tx: 68, rx: 239
ExperimentServent(0xb73e088c): result: 1, tx: 251, rx: 218
ExperimentServent(0xb73e0b0c): result: 1, tx: 47, rx: 122
ExperimentServent(0xb73e0d8c): result: 1, tx: 78, rx: 141
ExperimentServent(0xb73e0c4c): result: 1, tx: 187, rx: 175
